season,series_id,series_name,mode,use,species,planting_type,seeds_per_hole,young_plants_tray,sowing_date,planting_date,first_harvest_date,last_harvest_date,block_area,block_density,block_spacing_rows,block_spacing_plants,bed_length,bed_density,bed_rows,bed_spacing_plants,finished,harvest_unit,yield_expected_area,variety_name,variety_part
2025,,Achillée millefeuille S10,open-field,bed,Achillée millefeuille,young-plant,3.0,Plaque de 100,2025-02-10,2025-03-10,2025-05-05,2025-10-20,,,,,10.0,,1.0,50.0,,bunch,1.0,Achillée millefeuille,100
2026,,Achillée millefeuille S10,open-field,bed,Achillée millefeuille,young-plant,3.0,Plaque de 100,2026-02-09,2026-03-09,2026-05-04,2026-10-19,,,,,10.0,,1.0,50.0,,bunch,1.0,Achillée millefeuille,100
2025,,Agastache anisée S10,open-field,bed,Agastache,young-plant,3.0,Plaque de 100,2025-02-10,2025-03-10,2025-05-05,2025-10-20,,,,,10.0,,1.0,50.0,,bunch,1.0,Agastache fenouil,100
2026,,Agastache anisée S10,open-field,bed,Agastache,young-plant,3.0,Plaque de 100,2026-02-09,2026-03-09,2026-05-04,2026-10-19,,,,,10.0,,1.0,50.0,,bunch,1.0,Agastache fenouil,100
2025,,Agastache menthe S10,open-field,bed,Agastache menthe,young-plant,3.0,Plaque de 100,2025-02-10,2025-03-10,2025-05-05,2025-05-05,,,,,10.0,,1.0,50.0,,bunch,1.0,Agastache menthe,100
2026,,Agastache menthe S10,open-field,bed,Agastache menthe,young-plant,3.0,Plaque de 100,2026-02-09,2026-03-09,2026-05-04,2026-05-04,,,,,10.0,,1.0,50.0,,bunch,1.0,Agastache menthe,100
2024,,Ail faux poireau Ail éléphant S39,open-field,bed,Poireau perpétuel,sowing,,,2024-09-23,,2025-05-05,2025-07-07,,,,,28.3,,2.0,10.0,,kg,0.6,Ail éléphant,100
2025,,Ail faux poireau S50,open-field,bed,Poireau perpétuel,sowing,,,2025-12-15,,2026-06-22,2026-07-13,,,,,24.0,,2.0,10.0,,kg,0.6,Ail éléphant,100
2024,,Ail S39,open-field,bed,Ail,sowing,,,2024-09-23,,2025-04-07,2025-04-28,,,,,85.0,,5.0,19.0,,kg,0.30000000000000004,Ail,100
2025,,Ail S50,open-field,bed,Ail,sowing,,,2025-12-15,,2026-06-22,2026-07-13,,,,,168.0,,5.0,19.0,,kg,0.30000000000000004,Ail,100
